TEAM,StrOfSched
Abilene Christian,-1.1
Air Force,0.8
Akron,-0.5
Alabama,11.7
Alabama A&M,-8.2
Alabama St.,-7.4
Albany,-5.6
Alcorn St.,-4.5
American,-5.3
Appalachian St.,-1.6
Arizona,9.2
Arizona St.,7.5
Arkansas,10.4
Arkansas Pine Bluff,-8.5
Arkansas St.,-5
Army,-5.9
Auburn,9.9
Austin Peay,-5.1
Ball St.,-2.8
Baylor,11.5
Bellarmine,-2.6
Belmont,-0.1
Bethune Cookman,-8.8
Binghamton,-5.4
Boise St.,5.9
Boston College,4
Boston University,-4.9
Bowling Green,-4.4
Bradley,1.8
Brown,-1.1
Bryant,-3.1
Bucknell,-5.7
Buffalo,-0.7
Butler,7.4
BYU,4
Cal Baptist,-1.2
Cal Poly,-3.3
Cal St. Bakersfield,-3.4
Cal St. Fullerton,-0.8
Cal St. Northridge,-4.6
California,4.1
Campbell,-3.9
Canisius,-3.1
Central Arkansas,-4.6
Central Connecticut,-7.4
Central Michigan,-5.1
Charleston,-0.8
Charleston Southern,-4.7
Charlotte,0.4
Chattanooga,-1.7
Chicago St.,-5.2
Cincinnati,5.6
Clemson,5.3
Cleveland St.,-3.9
Coastal Carolina,-3.3
Colgate,-2.8
Colorado,7
Colorado St.,4.2
Columbia,-5.4
Connecticut,11.1
Coppin St.,-3.7
Cornell,-1.2
Creighton,10.6
Dartmouth,-3
Davidson,1.6
Dayton,2.6
Delaware,-2.8
Delaware St.,-7.8
Denver,-7.1
DePaul,7.2
Detroit Mercy,-2.5
Drake,1.5
Drexel,-3.7
Duke,9
Duquesne,0.1
East Carolina,0.6
East Tennessee St.,-3.4
Eastern Illinois,-8
Eastern Kentucky,-1.4
Eastern Michigan,-3.1
Eastern Washington,-1.1
Elon,-5.3
Evansville,-2
Fairfield,-3.8
Fairleigh Dickinson,-7.8
FIU,-1.5
Florida,8.5
Florida A&M,-8.3
Florida Atlantic,3.8
Florida Gulf Coast,-2.3
Florida St.,5
Fordham,-1.1
Fresno St.,3.1
Furman,-0.4
